Date,Open,High,Low,Close,O1,O2,O3
4/29/2020,"2,918.46","2,954.86","2,912.16","2,939.51",1,1,0
4/30/2020,"2,930.91","2,930.91","2,892.47","2,912.43",0,1,0
5/1/2020,"2,869.09","2,869.09","2,821.61","2,830.71",0,1,0
5/4/2020,"2,815.01","2,844.24","2,797.85","2,842.74",1,1,0
5/5/2020,"2,868.88","2,898.23","2,863.55","2,868.44",0,1,0
5/6/2020,"2,883.14","2,891.11","2,847.65","2,848.42",0,1,0
5/7/2020,"2,878.26","2,901.92","2,876.48","2,881.19",1,1,0
5/8/2020,"2,908.83","2,932.16","2,902.88","2,929.80",1,1,0
5/11/2020,"2,915.46","2,944.25","2,903.44","2,930.32",1,1,0
5/12/2020,"2,939.50","2,945.82","2,869.59","2,870.12",0,1,0
5/13/2020,"2,865.86","2,874.14","2,793.15","2,820.00",0,1,0
5/14/2020,"2,794.54","2,852.80","2,766.64","2,852.50",1,1,0
5/15/2020,"2,829.95","2,865.01","2,816.78","2,863.70",1,1,0
5/18/2020,"2,913.86","2,968.09","2,913.86","2,953.91",1,1,1
5/19/2020,"2,948.59","2,964.21","2,922.35","2,922.94",0,1,0
5/20/2020,"2,953.63","2,980.29","2,953.63","2,971.61",1,1,1
5/21/2020,"2,969.95","2,978.50","2,938.57","2,948.51",0,1,0
5/22/2020,"2,948.05","2,956.76","2,933.59","2,955.45",1,1,0
5/26/2020,"3,004.08","3,021.72","2,988.17","2,991.77",0,1,0
5/27/2020,"3,015.65","3,036.25","2,969.75","3,036.13",1,1,0
5/28/2020,"3,046.61","3,068.67","3,023.40","3,029.73",0,1,0
5/29/2020,"3,025.17","3,049.17","2,998.61","3,044.31",1,1,0
6/1/2020,"3,038.78","3,062.18","3,031.54","3,055.73",1,1,0
6/2/2020,"3,064.78","3,081.07","3,051.64","3,080.82",1,1,0
6/3/2020,"3,098.90","3,130.94","3,098.90","3,122.87",1,1,1
6/4/2020,"3,111.56","3,128.91","3,090.41","3,112.35",1,1,0
6/5/2020,"3,163.84","3,211.72","3,163.84","3,193.93",1,1,1
6/8/2020,"3,199.92","3,233.13","3,196.00","3,232.39",1,1,0
6/9/2020,"3,213.32","3,222.71","3,193.11","3,207.18",0,1,0
6/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14",0,1,0
6/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10",0,1,0
6/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31",0,1,0
6/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59",1,1,0
6/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74",0,1,0
6/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49",0,1,0
6/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34",1,1,0
6/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74",0,1,0
6/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86",1,1,0
6/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29",0,1,0
